subject,section,passage_text,question_text,option_a,option_b,option_c,option_d,correct_option
"اللغة الإنجليزية","القواعد (Grammar)","","we were up all night......video games.","plays","play","played","playing","playing"
"اللغة الإنجليزية","القواعد (Grammar)","","Maria's English is excellent. She speaks....","perfect English","English perfect","English bad","badly English","perfect English"
"اللغة الإنجليزية","القواعد (Grammar)","","Change the sentence to indirect speech: He says I may consider the offer","He said that he might consider the offer","He says that he might consider the offer","He said that he may consider the offer","He says I might consider the offer","He said that he might consider the offer"
"اللغة الإنجليزية","القواعد (Grammar)","","Eishan ............. a letter yesterday.","Had write","write","wrote","writing","wrote"
"اللغة الإنجليزية","القواعد (Grammar)","","I was born ............. 1993","On","in","At","To","in"
"اللغة الإنجليزية","القواعد (Grammar)","","This is a boring place to live. There's ............. to do.","little","Many","Few","Any","little"
"اللغة الإنجليزية","القواعد (Grammar)","","I'm very happy ............. in India. I really miss being there.","to live","to have lived","to be lived","to be living","to have lived"
"اللغة الإنجليزية","القواعد (Grammar)","","I can't walk anymore. I'm ............. tired","too","so that","much","so such","too"
"اللغة الإنجليزية","القواعد (Grammar)","","If she............harded a bit, she would not have failed to get the job.","have work","have worked","had work","had worked","had worked"
"اللغة الإنجليزية","القواعد (Grammar)","","Dave ............. in a factory. Now he works in a supermarket","working","works","used to work","will work","used to work"
"اللغة الإنجليزية","القواعد (Grammar)","","If he............. one minute later, he............. the train","arrived - would have missed","had arrived - would have missed","would have arrived - would have missed","would arrive - would miss","had arrived - would have missed"
"اللغة الإنجليزية","القواعد (Grammar)","","A debate competition ............. in our school every year.","is organized","was organized","has been organized","will have been organized","is organized"
"اللغة الإنجليزية","القواعد (Grammar)","","Nada waved to Noor, but she.................looking","didn't","isn't","wasn't","hasn't","wasn't"
"اللغة الإنجليزية","القواعد (Grammar)","","Can I have ............. tea?","a","the","any","Some","Some"
"اللغة الإنجليزية","القواعد (Grammar)","","The woman ............. lives next door to me is a doctor","whom","whose","who","which","who"
"اللغة الإنجليزية","القواعد (Grammar)","","Transform the sentence to passive voice: They are cleaning the house","The house is cleaned by them.","The house is being cleaned by them.","The house is cleaning by them.","The house was cleaned by them.","The house is being cleaned by them."
"اللغة الإنجليزية","القواعد (Grammar)","","Some friends of mine...........building their own house. They hope to finish it next summer","are","have","do","were","are"
"اللغة الإنجليزية","القواعد (Grammar)","","After the storm, the place looked................it had been the stage for weeks of brutal fight","as","as though","as in","how","as"
